datetime,currency_pair,provider,rate
2025-06-25 17:39:49.345160,EUR-TND,WesternUnion,3.421
2025-06-25 17:39:49.345160,EUR-MAD,WesternUnion,10.8068
2025-06-25 17:39:49.345160,EUR-TND,MoneyGram,3.417
2025-06-25 17:39:49.345160,EUR-MAD,MoneyGram,10.6375
2025-06-25 17:39:49.345160,EUR-TND,LemFi,3.37
2025-06-25 17:39:49.345160,EUR-MAD,LemFi,10.43
2025-06-25 17:39:49.345160,EUR-TND,Remitly,3.2844
2025-06-25 17:39:49.345160,EUR-MAD,Remitly,10.69
2025-06-25 17:39:49.345160,EUR-TND,Ria,3.36603
2025-06-25 17:39:49.345160,EUR-MAD,Ria,10.57076
2025-06-25 17:39:49.345160,EUR-TND,MyEasyTransfer,3.29
2025-06-25 17:39:49.345160,EUR-MAD,MyEasyTransfer,10.14
2025-06-27 08:55:35.843495,EUR-TND,WesternUnion,3.4356
2025-06-27 08:55:35.843495,EUR-MAD,WesternUnion,10.8387
2025-06-27 08:55:35.843495,EUR-TND,MoneyGram,3.417
2025-06-27 08:55:35.843495,EUR-MAD,MoneyGram,10.6375
2025-06-27 08:55:35.843495,EUR-TND,LemFi,3.33
2025-06-27 08:55:35.843495,EUR-MAD,LemFi,10.43
2025-06-27 08:55:35.843495,EUR-TND,Remitly,3.3068
2025-06-27 08:55:35.843495,EUR-MAD,Remitly,10.69
2025-06-27 08:55:35.843495,EUR-TND,Ria,3.3916
2025-06-27 08:55:35.843495,EUR-MAD,Ria,10.57662
2025-06-27 08:55:35.843495,EUR-TND,MyEasyTransfer,3.29
2025-06-27 08:55:35.843495,EUR-MAD,MyEasyTransfer,10.14
2025-06-27 12:15:22.092034,EUR-TND,WesternUnion,3.4586
2025-06-27 12:15:22.092034,EUR-MAD,WesternUnion,10.8341
2025-06-27 12:15:22.092034,EUR-TND,MoneyGram,3.417
2025-06-27 12:15:22.092034,EUR-MAD,MoneyGram,10.6375
2025-06-27 12:15:22.092034,EUR-TND,LemFi,3.33
2025-06-27 12:15:22.092034,EUR-MAD,LemFi,10.43
2025-06-27 12:15:22.092034,EUR-TND,Remitly,3.2913
2025-06-27 12:15:22.092034,EUR-MAD,Remitly,10.69
2025-06-27 12:15:22.092034,EUR-TND,Ria,3.3916
2025-06-27 12:15:22.092034,EUR-MAD,Ria,10.57662
2025-06-27 12:15:22.092034,EUR-TND,MyEasyTransfer,3.32
2025-06-27 12:15:22.092034,EUR-MAD,MyEasyTransfer,10.14
2025-06-30 14:20:45.086839,EUR-TND,WesternUnion,3.4108
2025-06-30 14:20:45.086839,EUR-MAD,WesternUnion,10.8214
2025-06-30 14:20:45.086839,EUR-TND,MoneyGram,3.417
2025-06-30 14:20:45.086839,EUR-MAD,MoneyGram,10.6375
2025-06-30 14:20:45.086839,EUR-TND,LemFi,3.34
2025-06-30 14:20:45.086839,EUR-MAD,LemFi,10.5
2025-06-30 14:20:45.086839,EUR-TND,Remitly,3.276
2025-06-30 14:20:45.086839,EUR-MAD,Remitly,10.69
2025-06-30 14:20:45.086839,EUR-TND,Ria,3.36617
2025-06-30 14:20:45.086839,EUR-MAD,Ria,10.56921
2025-06-30 14:20:45.086839,EUR-TND,MyEasyTransfer,655.96
2025-06-30 14:20:45.086839,EUR-MAD,MyEasyTransfer,0.0
2025-07-03 16:07:16.320698,EUR-TND,WesternUnion,3.4506
2025-07-03 16:07:16.320698,EUR-MAD,WesternUnion,10.8251
2025-07-03 16:07:16.320698,EUR-TND,MoneyGram,3.417
2025-07-03 16:07:16.320698,EUR-MAD,MoneyGram,10.6375
2025-07-03 16:07:16.320698,EUR-TND,LemFi,3.36
2025-07-03 16:07:16.320698,EUR-MAD,LemFi,10.47
2025-07-03 16:07:16.320698,EUR-TND,Remitly,3.317
2025-07-03 16:07:16.320698,EUR-MAD,Remitly,10.7
2025-07-03 16:07:16.320698,EUR-TND,Ria,3.40082
2025-07-03 16:07:16.320698,EUR-MAD,Ria,10.58636
2025-07-03 16:07:16.320698,EUR-TND,MyEasyTransfer,655.96
2025-07-09 13:10:08.125994,EUR-TND,WesternUnion,3.4616
2025-07-09 13:10:08.125994,EUR-MAD,WesternUnion,10.7963
2025-07-09 13:10:08.125994,EUR-TND,MoneyGram,3.417
2025-07-09 13:10:08.125994,EUR-MAD,MoneyGram,10.6375
2025-07-09 13:10:08.125994,EUR-TND,LemFi,3.34
2025-07-09 13:10:08.125994,EUR-MAD,LemFi,10.5
2025-07-09 13:10:08.125994,EUR-TND,Remitly,3.3151
2025-07-09 13:10:08.125994,EUR-MAD,Remitly,10.66
2025-07-09 13:10:08.125994,EUR-TND,Ria,3.39666
2025-07-09 13:10:08.125994,EUR-MAD,Ria,10.54332
2025-07-09 13:10:08.125994,EUR-TND,MyEasyTransfer,3.34
2025-07-09 13:10:08.125994,EUR-MAD,MyEasyTransfer,10.14
